Event ID,Chamber ID,# Hits,Energy [GeV],# Particles
1,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_2SDet,1270,0.00912,100
1,ExternalDetectorEmbedder_Chamber_3SDet,2751,0.0198,100
1,ExternalDetectorEmbedder_Chamber_4SDet,2917,0.0208,100
2,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_2SDet,1089,0.00876,100
2,ExternalDetectorEmbedder_Chamber_3SDet,2773,0.0205,100
2,ExternalDetectorEmbedder_Chamber_4SDet,2710,0.02,100
3,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_2SDet,1202,0.00898,100
3,ExternalDetectorEmbedder_Chamber_3SDet,2675,0.0199,100
3,ExternalDetectorEmbedder_Chamber_4SDet,2200,0.0181,100
4,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_2SDet,1246,0.00944,100
4,ExternalDetectorEmbedder_Chamber_3SDet,2211,0.018,100
4,ExternalDetectorEmbedder_Chamber_4SDet,2336,0.0185,100
5,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_2SDet,1115,0.00884,100
5,ExternalDetectorEmbedder_Chamber_3SDet,2681,0.02,100
5,ExternalDetectorEmbedder_Chamber_4SDet,2384,0.0186,100
6,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_1SDet,99,0.000361,1
6,ExternalDetectorEmbedder_Chamber_2SDet,1262,0.00944,100
6,ExternalDetectorEmbedder_Chamber_3SDet,2945,0.0213,100
6,ExternalDetectorEmbedder_Chamber_4SDet,2403,0.0189,100
7,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_2SDet,1135,0.00892,100
7,ExternalDetectorEmbedder_Chamber_3SDet,2740,0.0207,100
7,ExternalDetectorEmbedder_Chamber_4SDet,2274,0.0191,100
8,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_2SDet,1134,0.00912,100
8,ExternalDetectorEmbedder_Chamber_3SDet,2618,0.0198,100
8,ExternalDetectorEmbedder_Chamber_4SDet,2531,0.0198,100
9,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_2SDet,1179,0.0092,100
9,ExternalDetectorEmbedder_Chamber_3SDet,2132,0.0179,100
9,ExternalDetectorEmbedder_Chamber_4SDet,2860,0.0209,100
10,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_2SDet,1357,0.00967,100
10,ExternalDetectorEmbedder_Chamber_3SDet,2856,0.0209,100
10,ExternalDetectorEmbedder_Chamber_4SDet,2352,0.0192,100
