Event ID,Chamber ID,# Hits,Energy [GeV],# Particles
1,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_2SDet,185,0.00108,93
1,ExternalDetectorEmbedder_Chamber_3SDet,320,0.00225,149
1,ExternalDetectorEmbedder_Chamber_4SDet,227,0.00177,109
2,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_2SDet,91,0.000988,47
2,ExternalDetectorEmbedder_Chamber_3SDet,259,0.00189,124
2,ExternalDetectorEmbedder_Chamber_4SDet,286,0.00205,134
3,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_2SDet,106,0.000848,52
3,ExternalDetectorEmbedder_Chamber_3SDet,257,0.00187,124
3,ExternalDetectorEmbedder_Chamber_4SDet,217,0.00176,107
4,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_2SDet,178,0.0011,88
4,ExternalDetectorEmbedder_Chamber_3SDet,262,0.0021,125
4,ExternalDetectorEmbedder_Chamber_4SDet,216,0.00165,101
5,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_2SDet,105,0.000781,50
5,ExternalDetectorEmbedder_Chamber_3SDet,173,0.00166,90
5,ExternalDetectorEmbedder_Chamber_4SDet,275,0.00213,133
6,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_2SDet,136,0.00108,62
6,ExternalDetectorEmbedder_Chamber_3SDet,236,0.00203,116
6,ExternalDetectorEmbedder_Chamber_4SDet,380,0.00243,175
7,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_2SDet,98,0.00087,53
7,ExternalDetectorEmbedder_Chamber_3SDet,195,0.00174,97
7,ExternalDetectorEmbedder_Chamber_4SDet,219,0.00177,106
8,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_2SDet,113,0.000951,59
8,ExternalDetectorEmbedder_Chamber_3SDet,343,0.0022,164
8,ExternalDetectorEmbedder_Chamber_4SDet,371,0.0024,176
9,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_2SDet,113,0.000832,58
9,ExternalDetectorEmbedder_Chamber_3SDet,249,0.00189,119
9,ExternalDetectorEmbedder_Chamber_4SDet,230,0.00166,114
10,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_2SDet,211,0.00131,105
10,ExternalDetectorEmbedder_Chamber_3SDet,244,0.00191,119
10,ExternalDetectorEmbedder_Chamber_4SDet,209,0.00165,105
